timestamp,temperature,humidity,CO2CosIRValue,CO2MG811Value,MOX1,MOX2,MOX3,MOX4,COValue
2020-01-25 00:01:49.251503+01:00,20.64,55.57,121.0,496.0,521.0,694.0,652.0,591.0,135.0
2020-01-25 00:02:09.350082+01:00,20.64,55.53,122.0,495.0,521.0,694.0,652.0,591.0,135.0
2020-01-25 00:02:29.319505+01:00,20.62,55.53,121.0,495.0,522.0,694.0,651.0,591.0,135.0
2020-01-25 00:02:49.399379+01:00,20.62,55.57,121.0,495.0,522.0,694.0,651.0,591.0,135.0
2020-01-25 00:03:09.158989+01:00,20.62,55.59,121.0,495.0,522.0,694.0,652.0,591.0,135.0
2020-01-25 00:03:29.351646+01:00,20.62,55.71,121.0,495.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:03:49.379008+01:00,20.62,55.74,121.0,495.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:04:09.345420+01:00,20.62,55.74,121.0,495.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:04:29.160613+01:00,20.64,55.71,121.0,496.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:04:49.312567+01:00,20.66,55.71,121.0,496.0,523.0,694.0,652.0,591.0,134.0
2020-01-25 00:05:09.272777+01:00,20.68,55.59,121.0,496.0,523.0,694.0,652.0,591.0,134.0
2020-01-25 00:05:29.277485+01:00,20.74,55.49,121.0,496.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:05:49.161027+01:00,20.74,55.59,121.0,496.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:06:09.149470+01:00,20.75,55.49,122.0,496.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:06:29.255932+01:00,20.75,55.49,122.0,496.0,523.0,694.0,652.0,591.0,134.0
2020-01-25 00:06:49.438660+01:00,20.75,55.49,124.0,496.0,522.0,694.0,652.0,591.0,134.0
2020-01-25 00:07:09.268588+01:00,20.75,55.49,124.0,496.0,523.0,694.0,652.0,591.0,134.0
